,job,machine,start,end,width
69,14.0,3.0,435.0,485.0,50.0
70,12.0,4.0,435.0,534.0,99.0
71,2.0,7.0,435.0,512.0,77.0
72,5.0,5.0,437.0,533.0,96.0
73,6.0,6.0,452.0,480.0,28.0
74,8.0,1.0,453.0,540.0,87.0
75,15.0,3.0,485.0,535.0,50.0
76,14.0,10.0,488.0,568.0,80.0
77,10.0,2.0,488.0,562.0,74.0
78,7.0,9.0,497.0,547.0,50.0
79,11.0,6.0,497.0,573.0,76.0
80,13.0,7.0,512.0,579.0,67.0
81,6.0,5.0,533.0,594.0,61.0
82,4.0,4.0,534.0,603.0,69.0
83,9.0,3.0,535.0,572.0,37.0
84,15.0,9.0,547.0,626.0,79.0
85,3.0,10.0,568.0,647.0,79.0
86,12.0,3.0,572.0,595.0,23.0
87,9.0,8.0,572.0,580.0,8.0
88,2.0,6.0,573.0,671.0,98.0
89,7.0,7.0,579.0,631.0,52.0
90,6.0,1.0,594.0,689.0,95.0
91,12.0,2.0,595.0,667.0,72.0
92,14.0,4.0,603.0,622.0,19.0
93,4.0,8.0,603.0,641.0,38.0
94,10.0,4.0,622.0,649.0,27.0
95,9.0,9.0,626.0,692.0,66.0
96,7.0,8.0,641.0,668.0,27.0
97,1.0,10.0,647.0,663.0,16.0
98,5.0,4.0,649.0,666.0,17.0
99,1.0,5.0,663.0,684.0,21.0
100,11.0,4.0,666.0,753.0,87.0
101,4.0,2.0,667.0,754.0,87.0
102,7.0,3.0,668.0,727.0,59.0
103,14.0,6.0,671.0,699.0,28.0
104,1.0,7.0,684.0,755.0,71.0
105,2.0,5.0,684.0,739.0,55.0
106,5.0,1.0,689.0,733.0,44.0
107,10.0,9.0,692.0,761.0,69.0
108,5.0,8.0,733.0,776.0,43.0
109,13.0,4.0,753.0,801.0,48.0
110,15.0,2.0,754.0,795.0,41.0
111,14.0,7.0,755.0,818.0,63.0
112,1.0,1.0,755.0,808.0,53.0
113,3.0,9.0,761.0,823.0,62.0
114,2.0,8.0,776.0,842.0,66.0
115,15.0,10.0,795.0,867.0,72.0
116,7.0,2.0,795.0,886.0,91.0
117,8.0,4.0,801.0,842.0,41.0
118,10.0,1.0,808.0,877.0,69.0
119,4.0,7.0,818.0,859.0,41.0
120,14.0,5.0,818.0,912.0,94.0
121,12.0,9.0,823.0,913.0,90.0
122,3.0,6.0,823.0,860.0,37.0
123,11.0,8.0,842.0,874.0,32.0
124,6.0,4.0,842.0,918.0,76.0
125,9.0,7.0,859.0,948.0,89.0
126,3.0,3.0,860.0,924.0,64.0
127,4.0,10.0,867.0,950.0,83.0
128,15.0,8.0,874.0,892.0,18.0
129,13.0,1.0,877.0,919.0,42.0
130,10.0,8.0,892.0,937.0,45.0
131,1.0,9.0,913.0,965.0,52.0
132,13.0,2.0,919.0,965.0,46.0
133,15.0,1.0,919.0,994.0,75.0
134,3.0,8.0,937.0,980.0,43.0
135,10.0,5.0,937.0,1033.0,96.0
136,11.0,7.0,948.0,966.0,18.0
137,8.0,10.0,950.0,993.0,43.0
138,1.0,2.0,965.0,986.0,21.0
139,13.0,3.0,965.0,982.0,17.0
140,5.0,7.0,966.0,1041.0,75.0
141,12.0,8.0,980.0,1066.0,86.0
142,9.0,10.0,993.0,1035.0,42.0
143,8.0,9.0,993.0,1007.0,14.0
144,4.0,1.0,994.0,1087.0,93.0
145,9.0,5.0,1035.0,1068.0,33.0
146,5.0,2.0,1041.0,1090.0,49.0
147,1.0,8.0,1066.0,1092.0,26.0
148,5.0,6.0,1090.0,1115.0,25.0
149,14.0,8.0,1092.0,1190.0,98.0
